gene,max_phase,n_trials,diseases,categories,VDR_score,GR_score,VDR_dominant,VDR_repro,GR_repro,approved,failed
IMPDH1,4.0,4,"Arthritis, Rheumatoid; Crohn Disease; Lupus Erythematosus, Systemic; Multiple Sclerosis; Nephrotic Syndrome; Psoriasis; Uveitis",GI; autoimmune; eye; renal; skin,22.26,39.69,False,0.2,0.3513513513513513,1,0
INPP5D,2.0,1,"Dermatitis, Atopic; Pulmonary Disease, Chronic Obstructive",respiratory; skin,179.9,33.08,True,0.4,0.1891891891891892,0,1
IRAK4,2.0,1,"Arthritis, Rheumatoid; Lupus Erythematosus, Systemic",autoimmune,51.38,19.32,True,0.4,0.2702702702702703,0,1
ITGA2,2.0,1,"Colitis, Ulcerative",GI,19.37,107.8,False,0.4,0.3513513513513513,0,1
ITGB7,4.0,5,"Arthritis, Rheumatoid; Colitis, Ulcerative; Crohn Disease; Multiple Sclerosis",GI; autoimmune,62.27,17.23,True,0.2,0.1621621621621621,1,0
ITK,2.0,1,"Arthritis, Rheumatoid; Colitis, Ulcerative; Crohn Disease",GI; autoimmune,54.67,56.32,False,0.2,0.1621621621621621,0,1
JAK1,4.0,15,"Arthritis, Rheumatoid; Colitis, Ulcerative; Crohn Disease; Dermatitis, Atopic; Dermatomyositis; Lupus Erythematosus, Systemic; Psoriasis; Spondylitis, Ankylosing; Uveitis",GI; autoimmune; eye; skin,12.81,85.48,False,0.2,0.2972972972972973,1,0
JAK2,4.0,12,"Arthritis, Rheumatoid; Colitis, Ulcerative; Crohn Disease; Dermatitis, Atopic; Dermatomyositis; Lupus Erythematosus, Systemic; Psoriasis; Spondylitis, Ankylosing; Uveitis",GI; autoimmune; eye; skin,21.27,62.01,False,0.2,0.2432432432432432,1,0
JAK3,4.0,11,"Arthritis, Rheumatoid; Colitis, Ulcerative; Crohn Disease; Dermatitis, Atopic; Lupus Erythematosus, Systemic; Psoriasis; Spondylitis, Ankylosing; Uveitis",GI; autoimmune; eye; skin,10.18,31.66,False,0.1,0.2162162162162162,1,0
KDR,2.0,1,"Pulmonary Disease, Chronic Obstructive",respiratory,7.48,97.78,False,0.2,0.3243243243243243,0,1
KEAP1,4.0,3,"Arthritis, Rheumatoid; Multiple Sclerosis; Psoriasis",autoimmune; skin,17.93,41.8,False,0.6,0.4594594594594595,1,0
KIT,3.0,4,"Arthritis, Rheumatoid; Asthma; Multiple Sclerosis; Psoriasis; Pulmonary Disease, Chronic Obstructive",autoimmune; respiratory; skin,21.29,137.44,False,0.3,0.3513513513513513,0,1
LGALS3,2.0,1,Psoriasis,skin,2.41,34.77,False,0.3,0.1891891891891892,0,1
LTA,2.0,2,"Arthritis, Rheumatoid",autoimmune,27.76,19.49,True,0.1,0.1081081081081081,0,1
LTB4R,2.0,2,"Arthritis, Rheumatoid; Asthma; Pulmonary Disease, Chronic Obstructive",autoimmune; respiratory,157.15,54.63,True,0.4,0.1621621621621621,0,1
MADCAM1,3.0,1,"Colitis, Ulcerative; Crohn Disease",GI,277.19,109.23,True,0.5,0.4594594594594595,0,1
MAP2K1,2.0,2,"Arthritis, Rheumatoid; Psoriasis",autoimmune; skin,31.2,348.07,False,0.5,0.7567567567567568,0,1
MAP2K2,2.0,1,"Arthritis, Rheumatoid",autoimmune,11.07,47.1,False,0.3,0.3513513513513513,0,1
MAP3K1,2.0,1,Psoriasis,skin,13.84,101.77,False,0.2,0.3513513513513513,0,1
MAP3K8,2.0,1,"Colitis, Ulcerative",GI,21.09,12.13,True,0.3,0.5675675675675675,0,1
MAPK11,2.0,2,"Arthritis, Rheumatoid; Pulmonary Disease, Chronic Obstructive",autoimmune; respiratory,4.16,27.38,False,0.4,0.4054054054054054,0,1
MAPK14,2.0,15,"Arthritis, Rheumatoid; Asthma; Crohn Disease; Psoriasis; Pulmonary Disease, Chronic Obstructive; Spondylitis, Ankylosing",GI; autoimmune; respiratory; skin,34.95,69.51,False,0.5,0.5405405405405406,0,1
MAPKAPK5,2.0,1,"Arthritis, Rheumatoid",autoimmune,12.14,67.51,False,0.3,0.5135135135135135,0,1
MARCKS,2.0,1,"Pulmonary Disease, Chronic Obstructive",respiratory,12.36,34.9,False,0.4,0.2702702702702703,0,1
MC2R,4.0,1,"Arthritis, Rheumatoid; Dermatomyositis; Multiple Sclerosis; Nephrotic Syndrome; Uveitis",autoimmune; eye; renal,0.0,111.82,False,0.0,0.1081081081081081,1,0
MET,2.0,1,"Pulmonary Disease, Chronic Obstructive",respiratory,22.4,124.2,False,0.1,0.2972972972972973,0,1
MIF,3.0,1,"Arthritis, Rheumatoid",autoimmune,25.0,20.4,True,0.2,0.2972972972972973,0,1
MMP1,3.0,1,"Colitis, Ulcerative; Crohn Disease; Pulmonary Disease, Chronic Obstructive",GI; respiratory,0.0,0.0,False,0.0,0.054054054054054,0,1
