gene_name,VDR_score,GR_score,VDR_dominant,承認済,P1止まり,P1→II通過率,pred_prob_A,pred_passrate
DHODH,19.91,36.24,False,2,0,1.0,0.6145182193130755,0.9372747440534842
CNR1,22.58,49.88,False,4,1,0.923,0.6144646452662244,0.968238814155072
JAK2,21.27,62.01,False,14,4,0.84,0.614096844126277,0.9366539310530108
ADORA3,43.73,24.52,True,0,1,0.667,0.6137327793324443,0.9427704214898827
SIRT1,41.02,239.18,False,0,0,1.0,0.6131597922904666,0.8929379917195577
CCR5,19.46,0.0,True,1,2,0.833,0.6119979714747971,0.989486343687908
MTOR,62.77,149.22,False,1,9,0.654,0.6119067455728504,0.9249801875068681
ESR2,16.18,87.2,False,3,0,1.0,0.610247518234202,0.9109047993505932
CA4,19.63,10.22,True,5,0,1.0,0.6086848418872135,0.9399127037292198
TSLP,23.96,3.11,True,2,0,1.0,0.6086503438546891,0.962046084350071
FGFR3,21.59,21.82,False,2,0,1.0,0.6084881567621921,0.9651761070413428
CD86,26.86,18.65,True,2,0,1.0,0.6082657932568146,0.981011616260363
FN1,18.98,27.15,False,1,2,0.714,0.6076744922551957,0.9284767374225618
HRH2,26.08,45.03,False,11,0,1.0,0.6066898963724072,0.9697677355570935
PDPK1,23.6,75.93,False,0,1,0.5,0.6061364122412897,0.9326192556376488
IKBKB,17.32,72.67,False,0,4,0.429,0.605900068833533,0.9119222022769008
HMGCR,23.51,34.51,False,10,0,1.0,0.605284113891478,0.9128263116452487
MAPK14,34.95,69.51,False,0,15,0.571,0.6030556873770248,0.8807746866073431
IL17RA,28.82,33.51,False,1,0,1.0,0.6025669472929455,0.923747531047091
OSMR,39.93,182.9,False,0,0,1.0,0.602173927180901,0.9058305690395998
PIK3CB,26.43,23.03,True,0,3,0.4,0.6010963328052655,0.9192899244612184
FDPS,31.62,28.96,True,6,0,1.0,0.6002661224013032,0.9033751374601532
PTK2,21.61,43.0,False,0,4,0.429,0.5990757693243991,0.8980513623405839
ABL1,34.44,83.06,False,7,3,0.833,0.599046169339265,0.9493635627422957
PARP1,16.52,53.71,False,4,0,1.0,0.5988609664093814,0.9031729414373122
IL5RA,20.35,61.24,False,1,0,1.0,0.5969135627312381,0.9137463052679831
IRAK4,51.38,19.32,True,0,0,1.0,0.5964632956130884,0.935760201925235
PIKFYVE,32.2,33.04,False,0,0,1.0,0.5961491161023678,0.8987381998480253
ATR,36.05,89.15,False,0,2,0.5,0.5957250392083058,0.8975230784999604
GPR84,25.04,84.67,False,0,0,1.0,0.5952889368338613,0.8978407647971722
LTA,27.76,19.49,True,0,0,1.0,0.5951860205599917,0.9676892171465613
IMPDH1,22.26,39.69,False,1,0,1.0,0.5939301216679445,0.9200373735013165
MIF,25.0,20.4,True,0,0,1.0,0.5922817752511405,0.9315786926037642
SYK,55.92,6.88,True,2,1,0.929,0.5907213704848656,0.9432306809217311
SLC29A1,34.57,42.62,False,1,0,1.0,0.590643787321757,0.9203534859564415
MET,22.4,124.2,False,8,11,0.718,0.5887905357382015,0.9300276728198801
MAP2K1,31.2,348.07,False,5,4,0.765,0.5865240239116608,0.8399912889981226
CCN2,30.84,103.65,False,0,0,1.0,0.5857178836181733,0.8992657503966142
COMT,24.92,49.14,False,3,0,1.0,0.5854179575848366,0.9160637131000449
XPO1,31.53,133.51,False,1,0,1.0,0.5852862744369262,0.8728404190687578
SPP1,137.09,6.6,True,0,0,1.0,0.5851204311422672,0.9491192237342598
CNR2,39.16,29.54,True,0,1,0.875,0.5828821978729577,0.948361295908298
CD274,186.2,80.45,True,5,0,1.0,0.5820991572587016,0.9465077590509153
