gene,disease,category,mol_id,max_phase,VDR_score,GR_score,VDR_dominant,VDR_repro,GR_repro
NR3C1,"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1161,3.0,56.91,9.43,True,0.2,0.1891891891891892
PTGS2,"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL25,3.0,6.62,3.24,True,0.2,0.1891891891891892
DRD2,"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL831,1.0,0.0,3.32,False,0.1,0.081081081081081
HTR2C,"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL831,1.0,0.0,0.0,False,0.0,0.0
HTR2A,"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL831,1.0,7.67,0.0,True,0.2,0.081081081081081
ALOX5,"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL93,3.0,3.77,14.06,False,0.1,0.1081081081081081
ADRB2,"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL3989798,4.0,14.51,48.38,False,0.6,0.2972972972972973
NR3C1,"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1201014,4.0,56.91,9.43,True,0.2,0.1891891891891892
CXCR2,"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL3039531,2.0,69.42,8.12,True,0.1,0.054054054054054
PTGDR2,"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1914489,2.0,5.28,3.67,True,0.2,0.1081081081081081
ADRB2,"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL2218893,1.0,14.51,48.38,False,0.6,0.2972972972972973
LTB4R,"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1742420,2.0,157.15,54.63,True,0.4,0.1621621621621621
ADRB2,"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL3545103,2.0,14.51,48.38,False,0.6,0.2972972972972973
VDR,"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1042,2.0,30.94,15.24,True,0.4,0.1621621621621621
ADRB2,"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL3039530,2.0,14.51,48.38,False,0.6,0.2972972972972973
MAPK14,"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1088751,2.0,34.95,69.51,False,0.5,0.5405405405405406
ADRB2,"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL3039518,2.0,14.51,48.38,False,0.6,0.2972972972972973
CHRM2,"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL3039518,2.0,0.0,3.5,False,0.0,0.081081081081081
CHRM3,"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL3039518,2.0,11.74,0.0,True,0.2,0.054054054054054
IL5RA,"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1742991,3.0,20.35,61.24,False,0.2,0.3783783783783784
MAPK14,"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1938400,2.0,34.95,69.51,False,0.5,0.5405405405405406
IL5,"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL2108429,3.0,6.02,123.29,False,0.3,0.4054054054054054
ADRB2,"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1094785,2.0,14.51,48.38,False,0.6,0.2972972972972973
MAPK14,"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1088752,2.0,34.95,69.51,False,0.5,0.5405405405405406
MAPK11,"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1088752,2.0,4.16,27.38,False,0.4,0.4054054054054054
IL13,"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1743035,2.0,3.31,99.09,False,0.2,0.1621621621621621
NR3C1,"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1200500,3.0,56.91,9.43,True,0.2,0.1891891891891892
ACVR2B,"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL3137353,2.0,5.09,39.09,False,0.2,0.2702702702702703
NR3C1,"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1451,3.0,56.91,9.43,True,0.2,0.1891891891891892
CHRM3,"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL3545222,2.0,11.74,0.0,True,0.2,0.054054054054054
TACR1,"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL105060,1.0,0.0,0.0,False,0.0,0.1891891891891892
IKBKB,"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL3545168,2.0,17.32,72.67,False,0.2,0.3783783783783784
MMP9,"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL3833374,1.0,11.54,71.71,False,0.2,0.2162162162162162
CHRM3,"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL3707249,2.0,11.74,0.0,True,0.2,0.054054054054054
CHRNA7,"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL3707249,2.0,0.0,0.0,False,0.0,0.0
CHRM1,"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL3707249,2.0,0.0,43.55,False,0.0,0.2432432432432432
CHRM2,"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL3707249,2.0,0.0,3.5,False,0.0,0.081081081081081
PIK3CD,"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL5314409,2.0,13.67,23.02,False,0.3,0.3243243243243243
