disease,category,mol_id,max_phase,efo_term
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL4650318,2.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1095777,3.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1697744,3.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1231840,2.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1928262,1.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL2040682,2.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL64391,1.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL532,2.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL177,0.5,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL30,1.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL32800,3.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1796997,3.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL106,1.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL142438,2.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1201774,2.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL217899,2.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1503,1.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL967,3.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1200574,3.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL2106049,1.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1201599,2.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL2106633,1.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL2108597,2.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1218,2.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1201572,2.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1201581,3.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1363,3.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1496,2.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL790,2.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL27,1.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1940832,2.0,chronic obstructive pulmonary disease
