gene,VDR_score,GR_score,VDR_celltypes,GR_celltypes,VDR_base_cells,GR_base_cells,VDR_experiments,GR_experiments,VDR_repro,GR_repro,VDR_dominant,repro_ratio,status
TNF,36.86,19.49,1,9,1.0,6.0,1.0,4.0,0.1,0.1081081081081081,True,-0.1026044852343513,approved
MAPK14,34.95,69.51,7,27,5.0,18.0,5.0,20.0,0.5,0.5405405405405406,False,-0.1103515573654427,failed
VEGFA,110.38,11.56,6,21,6.0,14.0,4.0,16.0,0.4,0.4324324324324324,True,-0.1098332362271199,approved
SLC29A1,34.57,42.62,3,21,3.0,12.0,3.0,13.0,0.3,0.3513513513513513,False,-0.2211340740775279,other
IL17A,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,approved
IL17F,0.0,0.0,0,1,0.0,1.0,0.0,1.0,0.0,0.027027027027027,False,-1.888578717331577,other
HCRTR2,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,other
CNR1,22.58,49.88,1,6,1.0,3.0,1.0,3.0,0.1,0.081081081081081,False,0.2722802030843886,other
TRAF3IP2,7.8,151.92,3,26,3.0,18.0,3.0,17.0,0.3,0.4594594594594595,False,-0.5987323626945678,other
MARCKS,12.36,34.9,4,16,4.0,10.0,4.0,10.0,0.4,0.2702702702702703,False,0.5488051914338078,other
HDAC2,0.0,20.68,0,4,0.0,4.0,0.0,4.0,0.0,0.1081081081081081,False,-3.5620361038716486,other
FRK,12.26,21.27,2,12,2.0,10.0,2.0,11.0,0.2,0.2972972972972973,False,-0.5492457504845378,other
CCN2,30.84,103.65,3,30,3.0,15.0,3.0,17.0,0.3,0.4594594594594595,False,-0.5987323626945678,other
ESR1,0.0,18.72,0,2,0.0,2.0,0.0,2.0,0.0,0.054054054054054,False,-2.679289883269309,other
PLG,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,other
AHR,0.0,67.78,0,26,0.0,15.0,0.0,13.0,0.0,0.3513513513513513,False,-5.175330384464403,other
IL6,3.51,56.98,2,14,2.0,10.0,2.0,7.0,0.2,0.1891891891891892,False,0.0762499793126403,other
GPNMB,0.0,4.01,0,3,0.0,3.0,0.0,3.0,0.0,0.081081081081081,False,-3.1871514155529086,other
PPIA,17.44,7.85,5,13,5.0,12.0,5.0,16.0,0.5,0.4324324324324324,True,0.2050401011262917,other
EGFR,11.86,370.19,2,35,2.0,17.0,2.0,18.0,0.2,0.4864864864864865,False,-1.2413651227036395,other
CDK6,9.72,17.6,4,15,4.0,11.0,4.0,13.0,0.4,0.3513513513513513,False,0.1822216201536808,other
NAMPT,66.6,88.13,0,6,0.0,6.0,0.0,6.0,0.0,0.1621621621621621,False,-4.105696196627351,other
MET,22.4,124.2,1,16,1.0,10.0,1.0,11.0,0.1,0.2972972972972973,False,-1.4821315546260008,other
CFTR,0.0,0.0,1,5,1.0,4.0,1.0,6.0,0.1,0.1621621621621621,False,-0.6462645779900534,other
IMPDH1,22.26,39.69,2,16,2.0,10.0,2.0,13.0,0.2,0.3513513513513513,False,-0.7830129616856427,other
CHRM2,0.0,3.5,0,3,0.0,3.0,0.0,3.0,0.0,0.081081081081081,False,-3.1871514155529086,other
BRAF,15.34,42.78,5,12,4.0,8.0,4.0,12.0,0.4,0.3243243243243243,False,0.2943755852706636,other
CDK5,20.19,115.98,5,27,5.0,17.0,5.0,18.0,0.5,0.4864864864864865,False,0.0387427964890957,other
