gene,VDR_score,GR_score,log_VDR,log_GR,VDR_repro,GR_repro,VDR_dominant,status,pred_prob
ALDH2,13.55,4.69,2.6775909936175015,1.7387102481382397,0.3,0.1891891891891892,True,other,0.49026826209773505
PDE3A,11.67,0.0,2.5392369943330477,0.0,0.1,0.1081081081081081,True,other,0.489847891504589
TLR7,0.0,3.51,0.0,1.506297153514587,0.1,0.027027027027027,False,other,0.48897840431244244
IL1B,10.2,45.09,2.4159137783010487,3.830596006732417,0.3,0.2702702702702703,False,approved,0.48870959700124106
LGALS3,2.41,34.77,1.2267122912954254,3.5771095532709265,0.3,0.1891891891891892,False,other,0.4877063964595265
CHEK1,21.53,17.93,3.114847754444153,2.9407479652212314,0.4,0.2702702702702703,True,other,0.486427962413688
SLC12A1,2.43,8.67,1.2325602611778486,2.269028309465203,0.2,0.1351351351351351,False,other,0.4852373857910219
CALCRL,6.77,0.0,2.050270164379556,0.0,0.2,0.081081081081081,True,other,0.4843723238978794
MARCKS,12.36,34.9,2.5922651681085,3.580737295494233,0.4,0.2702702702702703,False,other,0.4843705453778136
PDE5A,22.77,7.56,3.1684242813721024,2.1471001901536506,0.3,0.2432432432432432,True,other,0.48307114226736747
HDAC2,0.0,20.68,0.0,3.0763901765714454,0.0,0.1081081081081081,False,other,0.4814427685900965
FLT1,3.67,190.86,1.541159071680806,5.256765939389801,0.1,0.2972972972972973,False,other,0.4796274359003711
MIF,25.0,20.4,3.258096538021482,3.0633909220278057,0.2,0.2972972972972973,True,other,0.47844697808858816
IL17RA,28.82,33.51,3.3951793093365925,3.541249137109912,0.3,0.3243243243243243,False,approved,0.47834194564220767
ITGA2,19.37,107.8,3.0140632302387145,4.689511334421843,0.4,0.3513513513513513,False,other,0.4780287877959103
NTRK3,0.0,10.04,0.0,2.401525040848949,0.0,0.081081081081081,False,other,0.4773020458365654
SCN5A,0.0,18.58,0.0,2.9745086371023644,0.0,0.1081081081081081,False,other,0.4762322082945353
FN1,18.98,27.15,2.9947317732204075,3.3375473545856993,0.2,0.2972972972972973,False,other,0.47493822426451937
ADRB2,14.51,48.38,2.7414849771884473,3.8995454839170334,0.6,0.2972972972972973,False,other,0.473644142378789
SLC29A1,34.57,42.62,3.571502585960364,3.775515760773483,0.3,0.3513513513513513,False,other,0.47169062961194747
TOP1,15.15,65.24,2.7819200496686656,4.193284510077004,0.3,0.3243243243243243,False,other,0.47087246843166725
ADORA2A,2.81,2.2,1.3376291891386096,1.1631508098056809,0.1,0.1081081081081081,True,other,0.4693482181610434
NPR1,3.93,2.99,1.5953389880545987,1.3837912309017721,0.1,0.1351351351351351,True,other,0.46741717520384396
TNFRSF18,10.42,278.84,2.435366204227864,5.634218011270292,0.1,0.3783783783783784,False,other,0.46734565528217414
ELANE,64.17,29.71,4.176999240344289,3.424588334452731,0.2,0.3783783783783784,True,other,0.46697876109252257
RIPK1,18.79,171.22,2.9851767596144745,5.148772729268019,0.5,0.3783783783783784,False,ongoing,0.4659414370854381
IL33,0.0,3.73,0.0,1.5539252025038417,0.0,0.054054054054054,False,approved,0.4643490680808534
S1PR5,5.07,15.94,1.803358605071407,2.8296776892239084,0.1,0.2162162162162162,False,other,0.4640979398112472
GHR,57.7,0.0,4.072439726834051,0.0,0.3,0.2162162162162162,True,other,0.4638352798048125
PGF,2.43,0.0,1.2325602611778486,0.0,0.1,0.054054054054054,True,other,0.46363125274818234
MAP3K1,13.84,101.77,2.6973262377392344,4.632493481636982,0.2,0.3513513513513513,False,other,0.46065439287991716
DHFR,33.89,42.56,3.5522002551986827,3.77413929806476,0.6,0.3513513513513513,False,other,0.4604824974984155
FGF1,4.72,1.68,1.7439688053917064,0.9858167945227653,0.1,0.1351351351351351,True,other,0.45699863701708193
CCR9,0.0,12.27,0.0,2.5855058483441162,0.0,0.1081081081081081,False,failed,0.45639455921106065
TNFSF14,35.06,90.67,3.585184217775171,4.518195171973685,0.2,0.4054054054054054,False,other,0.45320397254205075
KDR,7.48,97.78,2.1377104498038118,4.592895155112479,0.2,0.3243243243243243,False,other,0.45180440878561284
CCR2,7.74,6.95,2.167910189667444,2.0731719286662407,0.1,0.2162162162162162,True,failed,0.4497569847769552
CA1,0.0,2.45,0.0,1.2383742310432684,0.0,0.054054054054054,False,other,0.4483064057439067
BRAF,15.34,42.78,2.7936160894318567,3.779177092094717,0.4,0.3243243243243243,False,other,0.4472979848556217
PPAT,6.72,17.2,2.0438143640366846,2.9014215940827497,0.3,0.2432432432432432,False,other,0.44691684418719035
CCL11,0.0,0.0,0.0,0.0,0.0,0.0,False,other,0.44574526516106733
CD40LG,0.0,0.0,0.0,0.0,0.0,0.0,False,other,0.44574526516106733
MAGEA3,0.0,0.0,0.0,0.0,0.0,0.0,False,other,0.44574526516106733
HCRTR2,0.0,0.0,0.0,0.0,0.0,0.0,False,other,0.44574526516106733
ICOSLG,0.0,0.0,0.0,0.0,0.0,0.0,False,other,0.44574526516106733
SERPINC1,0.0,0.0,0.0,0.0,0.0,0.0,False,other,0.44574526516106733
TNFSF13B,0.0,0.0,0.0,0.0,0.0,0.0,False,approved,0.44574526516106733
IL17A,0.0,0.0,0.0,0.0,0.0,0.0,False,approved,0.44574526516106733
