gene,VDR_score,GR_score,VDR_celltypes,GR_celltypes,VDR_base_cells,GR_base_cells,VDR_experiments,GR_experiments,VDR_repro,GR_repro,VDR_dominant,repro_ratio,status
ADRB1,3.23,169.87,1,16,1,12,1,14,0.1,0.3783783783783784,False,-1.8199593621910894,other
FGFR2,5.13,13.28,1,4,1,3,1,3,0.1,0.08108108108108109,False,0.27228020308438866,other
MS4A1,0.0,8.92,0,5,0,5,0,5,0.0,0.13513513513513514,False,-3.859324912356463,approved
PTGDR2,5.28,3.67,2,4,2,4,2,4,0.2,0.10810810810810811,True,0.8302813189071119,other
CHRM1,0.0,43.55,0,11,0,8,0,9,0.0,0.24324324324324326,False,-4.662451872030237,other
PGR,6.14,0.0,1,6,1,5,1,6,0.1,0.16216216216216217,True,-0.6462645779900534,other
MMP7,6.07,39.99,1,7,1,7,1,7,0.1,0.1891891891891892,False,-0.8566358248288228,other
MMP8,3.93,56.14,2,7,2,6,2,6,0.2,0.16216216216216217,False,0.28662122615140956,other
MMP1,0.0,0.0,0,2,0,2,0,2,0.0,0.05405405405405406,False,-2.679289883269309,other
MMP12,0.0,0.0,0,1,0,1,0,1,0.0,0.02702702702702703,False,-1.888578717331577,other
MMP13,0.0,13.01,1,13,1,10,1,6,0.1,0.16216216216216217,False,-0.6462645779900534,other
CASP1,0.0,0.0,0,2,0,2,0,2,0.0,0.05405405405405406,False,-2.679289883269309,other
IL18,10.77,91.56,1,22,1,12,1,11,0.1,0.2972972972972973,False,-1.4821315546260008,ongoing
DRD2,0.0,3.32,1,3,1,3,1,3,0.1,0.08108108108108109,False,0.27228020308438866,other
CD3E,0.0,14.1,0,1,0,1,0,1,0.0,0.02702702702702703,False,-1.888578717331577,other
CHEK1,21.53,17.93,4,12,4,9,4,10,0.4,0.2702702702702703,True,0.5488051914338078,other
CD27,4.22,52.71,1,8,1,6,1,7,0.1,0.1891891891891892,False,-0.8566358248288228,other
LAG3,45.93,18.9,2,11,2,6,2,6,0.2,0.16216216216216217,True,0.28662122615140956,approved
CD4,0.0,0.0,0,1,0,1,0,1,0.0,0.02702702702702703,False,-1.888578717331577,other
PDE3A,11.67,0.0,1,2,1,2,1,4,0.1,0.10810810810810811,True,-0.10260448523435133,other
IRAK4,51.38,19.32,4,13,4,9,4,10,0.4,0.2702702702702703,True,0.5488051914338078,other
VDR,30.94,15.24,4,14,4,9,4,6,0.4,0.16216216216216217,True,1.251855807990733,other
ITGB7,62.27,17.23,3,9,3,6,2,6,0.2,0.16216216216216217,True,0.28662122615140956,approved
GPR84,25.04,84.67,3,29,3,18,3,17,0.3,0.4594594594594595,False,-0.5987323626945678,other
PMEL,54.0,325.5,5,20,5,13,5,13,0.5,0.35135135135135137,False,0.4970949575070926,other
ERBB3,16.13,14.69,5,19,5,12,4,11,0.4,0.2972972972972973,True,0.41598883135478565,other
CDK4,41.56,62.24,7,24,6,16,6,17,0.6,0.4594594594594595,False,0.3778086644814432,other
IFNG,0.0,2.58,0,7,0,4,0,5,0.0,0.13513513513513514,False,-3.859324912356463,failed
IL22,0.0,0.0,0,0,0,0,0,0,0.0,0.0,False,0.0,other
NR1H4,2.4,0.0,2,6,2,5,2,6,0.2,0.16216216216216217,True,0.28662122615140956,other
SELPLG,7.43,127.73,3,28,3,17,3,19,0.3,0.5135135135135135,False,-0.7559585625874288,other
ALDH2,13.55,4.69,3,7,3,6,3,7,0.3,0.1891891891891892,True,0.6381288669207552,other
MAPKAPK5,12.14,67.51,3,26,3,16,3,19,0.3,0.5135135135135135,False,-0.7559585625874288,other
P2RX7,9.05,13.8,2,13,2,11,2,11,0.2,0.2972972972972973,False,-0.5492457504845378,other
FLT3,8.72,45.79,2,5,2,5,1,5,0.1,0.13513513513513514,False,-0.3998932937191657,other
FLT1,3.67,190.86,1,14,1,11,1,11,0.1,0.2972972972972973,False,-1.4821315546260008,other
TNFSF11,0.0,0.0,0,5,0,4,0,4,0.0,0.10810810810810811,False,-3.5620361038716486,other
HTR2A,7.67,0.0,2,3,2,2,2,3,0.2,0.08108108108108109,True,1.2051660072258517,other
TNFSF13B,0.0,0.0,0,0,0,0,0,0,0.0,0.0,False,0.0,approved
F10,0.0,0.0,0,2,0,1,0,2,0.0,0.05405405405405406,False,-2.679289883269309,other
PARP2,28.77,67.4,6,23,5,14,5,17,0.5,0.4594594594594595,False,0.1194966688900526,other
LTB4R,157.15,54.63,6,7,5,6,4,6,0.4,0.16216216216216217,True,1.251855807990733,other
PTGER2,0.0,83.44,0,14,0,8,0,8,0.0,0.21621621621621623,False,-4.499630446921394,other
LGALS3,2.41,34.77,3,13,3,8,3,7,0.3,0.1891891891891892,False,0.6381288669207552,other
ESR2,16.18,87.2,2,19,2,12,2,14,0.2,0.3783783783783784,False,-0.8870735580496263,other
SLC10A1,0.0,28.16,0,3,0,3,0,4,0.0,0.10810810810810811,False,-3.5620361038716486,other
PGF,2.43,0.0,1,2,1,2,1,2,0.1,0.05405405405405406,True,0.780141735367988,other
CYP46A1,4.33,6.99,1,9,1,7,1,10,0.1,0.2702702702702703,False,-1.3493151945469788,other
IGHE,3.22,11.14,1,3,1,2,1,2,0.1,0.05405405405405406,False,0.780141735367988,approved
CHRNA7,0.0,0.0,0,0,0,0,0,0,0.0,0.0,False,0.0,other
SLC12A1,2.43,8.67,2,5,2,4,2,5,0.2,0.13513513513513514,False,0.5329925104222974,other
CA12,20.55,19.07,3,16,3,11,3,12,0.3,0.32432432432432434,True,-0.10898010896054479,other
MAP2K1,31.2,348.07,5,47,5,25,5,28,0.5,0.7567567567567568,False,-0.5882717276739136,other
CD276,8.84,130.79,2,15,2,9,2,7,0.2,0.1891891891891892,False,0.07624997931264035,other
