gene,disease,category,phase,mol_id,VDR_score,GR_score,VDR_dominant
CCR1,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,CHEMBL2178570,68.06,18.84,True
CFTR,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,CHEMBL4650318,0.0,0.0,False
PDE5A,"Pulmonary Disease, Chronic Obstructive",respiratory,1.0,CHEMBL1928262,22.77,7.56,True
NR3C1,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,CHEMBL2040682,56.91,9.43,True
HRH2,"Pulmonary Disease, Chronic Obstructive",respiratory,1.0,CHEMBL30,26.08,45.03,False
ADRB2,"Pulmonary Disease, Chronic Obstructive",respiratory,3.0,CHEMBL32800,14.51,48.38,False
TNF,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,CHEMBL1201572,36.86,19.49,True
TNF,"Pulmonary Disease, Chronic Obstructive",respiratory,3.0,CHEMBL1201581,36.86,19.49,True
ADRB2,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,CHEMBL1940832,14.51,48.38,False
CXCR2,"Pulmonary Disease, Chronic Obstructive",respiratory,1.0,CHEMBL2178579,69.42,8.12,True
MAPK14,"Pulmonary Disease, Chronic Obstructive",respiratory,1.0,CHEMBL3544968,34.95,69.51,False
ADRB2,"Pulmonary Disease, Chronic Obstructive",respiratory,1.0,CHEMBL3545087,14.51,48.38,False
CHRM3,"Pulmonary Disease, Chronic Obstructive",respiratory,1.0,CHEMBL3916700,11.74,0.0,True
ADRB2,"Pulmonary Disease, Chronic Obstructive",respiratory,1.0,CHEMBL3916700,14.51,48.38,False
ADORA2A,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,CHEMBL1096896,2.81,2.2,True
CHRM3,"Pulmonary Disease, Chronic Obstructive",respiratory,4.0,CHEMBL3833319,11.74,0.0,True
P2RY12,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,CHEMBL398435,0.0,96.27,False
ADRB1,"Pulmonary Disease, Chronic Obstructive",respiratory,3.0,CHEMBL2356097,3.23,169.87,False
ADRB2,"Pulmonary Disease, Chronic Obstructive",respiratory,3.0,CHEMBL1315867,14.51,48.38,False
IL18,"Pulmonary Disease, Chronic Obstructive",respiratory,1.0,CHEMBL2109604,10.77,91.56,False
IL1R1,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,CHEMBL2109607,5.72,333.19,False
IL4R,"Pulmonary Disease, Chronic Obstructive",respiratory,3.0,CHEMBL2108675,24.75,50.92,False
PTGDR2,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,CHEMBL3137332,5.28,3.67,True
MAPK14,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,CHEMBL5314397,34.95,69.51,False
TSLP,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,CHEMBL3707229,23.96,3.11,True
PIK3CD,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,CHEMBL2216859,13.67,23.02,False
INPP5D,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,CHEMBL3989954,179.9,33.08,True
ADRB2,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,CHEMBL1240967,14.51,48.38,False
MMP9,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,CHEMBL4297352,11.54,71.71,False
MMP12,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,CHEMBL4297352,0.0,0.0,False
NR3C1,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,CHEMBL4072756,56.91,9.43,True
CHRM3,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,CHEMBL1921904,11.74,0.0,True
ADRB2,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,CHEMBL1084173,14.51,48.38,False
CHRM3,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,CHEMBL4297483,11.74,0.0,True
ADRB2,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,CHEMBL4297483,14.51,48.38,False
