gene,disease_id,disease,therapeutic_areas,score,status
PGR,EFO_0003894,acne,"integumentary system disease; genetic, familial or congenital disease",0.5972356038743883,other
PGR,MONDO_0007254,breast cancer,integumentary system disease; reproductive system or breast disease; cancer or benign tumor,0.5818574168327572,other
CHEK1,EFO_0005772,neurodegenerative disease,nervous system disease,0.5409763400244827,other
CHEK1,MONDO_0957961,oocyte/zygote/embryo maturation arrest 21,"genetic, familial or congenital disease; reproductive system or breast disease; phenotype",0.4782548109547383,other
CHEK1,EFO_0004192,alopecia areata,"integumentary system disease; genetic, familial or congenital disease; phenotype",0.28021156500366357,other
CHEK1,Orphanet_399764,Male infertility due to gonadal dysgenesis or sperm disorder,"genetic, familial or congenital disease; reproductive system or breast disease",0.26609749537298527,other
CHEK1,Orphanet_140162,Inherited cancer-predisposing syndrome,"genetic, familial or congenital disease",0.1478319418738807,other
LAG3,EFO_0000756,melanoma,cancer or benign tumor,0.5672649687930189,approved
LAG3,MONDO_0005575,colorectal cancer,gastrointestinal disease; cancer or benign tumor,0.3450850894917363,approved
LAG3,EFO_0003060,non-small cell lung carcinoma,respiratory or thoracic disease; cancer or benign tumor,0.3039880946181609,approved
LAG3,EFO_0000389,cutaneous melanoma,integumentary system disease; cancer or benign tumor,0.21123400511791499,approved
LAG3,EFO_0003779,Hashimoto's thyroiditis,immune system disease; endocrine system disease,0.16379853768108002,approved
PDE3A,Orphanet_1276,Brachydactyly - arterial hypertension,"urinary system disease; genetic, familial or congenital disease; musculoskeletal or connective tissue disease",0.7468849549430213,other
PDE3A,MONDO_0007211,brachydactyly-arterial hypertension syndrome,"genetic, familial or congenital disease; musculoskeletal or connective tissue disease; phenotype",0.6983526433097782,other
PDE3A,EFO_0001645,coronary artery disease,cardiovascular disease,0.6746993132196417,other
PDE3A,EFO_0000319,cardiovascular disease,cardiovascular disease,0.6704423358604813,other
PDE3A,EFO_0000712,stroke,nervous system disease; cardiovascular disease; phenotype,0.6522627134943858,other
IRAK4,MONDO_0011888,immunodeficiency 67,"immune system disease; genetic, familial or congenital disease",0.7593923638641371,other
IRAK4,Orphanet_70592,Immunodeficiency due to interleukin-1 receptor-associated kinase-4 deficiency,immune system disease,0.7370157450244116,other
IRAK4,MONDO_0003778,inborn error of immunity,immune system disease,0.46387722202389775,other
IRAK4,EFO_0020092,neuroinflammatory disorder,nervous system disease; immune system disease,0.3708733841760982,other
IRAK4,MONDO_0010386,immunodeficiency 33,"immune system disease; genetic, familial or congenital disease",0.34186875718044285,other
VDR,Orphanet_93160,Hypocalcemic vitamin D-resistant rickets,"endocrine system disease; genetic, familial or congenital disease; nutritional or metabolic disease; musculoskeletal or connective tissue disease",0.8226576498848421,other
VDR,EFO_0000676,psoriasis,"immune system disease; integumentary system disease; genetic, familial or congenital disease",0.6262231295215288,other
VDR,EFO_0003884,chronic kidney disease,urinary system disease,0.6189293012254093,other
VDR,EFO_0003882,osteoporosis,"musculoskeletal or connective tissue disease; genetic, familial or congenital disease; phenotype",0.6132533632309574,other
VDR,EFO_0003762,vitamin D deficiency,phenotype,0.6030406958531787,other
ITGB7,EFO_0000384,Crohn's disease,"immune system disease; gastrointestinal disease; genetic, familial or congenital disease",0.6093930126308875,approved
ITGB7,EFO_0000729,ulcerative colitis,"gastrointestinal disease; immune system disease; genetic, familial or congenital disease",0.6071560347671664,approved
ITGB7,MONDO_0005301,multiple sclerosis,nervous system disease; immune system disease,0.5844185135438853,approved
ITGB7,EFO_0003929,relapsing-remitting multiple sclerosis,nervous system disease; immune system disease,0.5796562918114014,approved
ITGB7,MP_0001845,inflammation,phenotype,0.3695798546847018,approved
ERBB3,MONDO_8000011,"visceral neuropathy, familial, 1, autosomal recessive","genetic, familial or congenital disease; gastrointestinal disease",0.7335342096528644,other
ERBB3,MONDO_0011868,lethal congenital contracture syndrome 2,"genetic, familial or congenital disease",0.6861231032316232,other
ERBB3,MONDO_0004992,cancer,cancer or benign tumor,0.6674696507997295,other
ERBB3,MONDO_0004986,urinary bladder carcinoma,urinary system disease; cancer or benign tumor,0.5971027464109067,other
ERBB3,Orphanet_137776,Lethal congenital contracture syndrome type 2,"genetic, familial or congenital disease",0.5962554988913189,other
NR1H4,MONDO_0015762,progressive familial intrahepatic cholestasis,"endocrine system disease; nutritional or metabolic disease; gastrointestinal disease; genetic, familial or congenital disease; phenotype",0.7398543723093186,other
NR1H4,EFO_1001486,primary biliary cirrhosis,"gastrointestinal disease; genetic, familial or congenital disease; endocrine system disease; cancer or benign tumor",0.6048307362510553,other
NR1H4,EFO_0004267,biliary liver cirrhosis,endocrine system disease; gastrointestinal disease; cancer or benign tumor,0.5355669962756855,other
NR1H4,MONDO_0008892,progressive familial intrahepatic cholestasis type 1,"endocrine system disease; nutritional or metabolic disease; gastrointestinal disease; genetic, familial or congenital disease; phenotype",0.4715828451534007,other
NR1H4,EFO_0003900,ciliopathy,"genetic, familial or congenital disease",0.4619748183558772,other
ALDH2,MONDO_0007079,alcohol dependence,psychiatric disorder; nervous system disease,0.6529557768338666,other
ALDH2,EFO_0004274,gout,nutritional or metabolic disease; musculoskeletal or connective tissue disease; phenotype,0.5117902099524827,other
ALDH2,MONDO_0030894,"AMED syndrome, digenic","genetic, familial or congenital disease; immune system disease; hematologic disease; musculoskeletal or connective tissue disease",0.5018607360599177,other
ALDH2,EFO_0004329,alcohol drinking,biological_process,0.4781079692187372,other
ALDH2,EFO_0001067,parasitic infection,infectious disease,0.46303222738455846,other
HTR2A,MONDO_0002009,major depressive disorder,psychiatric disorder; nervous system disease,0.703395899986692,other
HTR2A,MONDO_0005090,schizophrenia,psychiatric disorder; nervous system disease,0.6249890944771281,other
HTR2A,EFO_0003758,autism,psychiatric disorder; nervous system disease; phenotype,0.6249351799201067,other
HTR2A,MONDO_0004985,bipolar disorder,psychiatric disorder; nervous system disease,0.6136427697851987,other
HTR2A,EFO_0005407,psychosis,psychiatric disorder; nervous system disease,0.6100169086668253,other
LTB4R,MONDO_0019737,thrombotic microangiopathy,hematologic disease,0.3233823728491141,other
LTB4R,EFO_0007187,bullous pemphigoid,immune system disease; integumentary system disease,0.3233823728491141,other
LTB4R,EFO_0000685,rheumatoid arthritis,immune system disease; musculoskeletal or connective tissue disease; phenotype,0.11077172848979128,other
